 New Account No ,New Account Name,Industry,Sector,Account Segment,Account Manager Alias,Segment Manager,Industry Manager
602173348,Rantouch Silis,Travel and Transportation,Logistics and Trucking,SMB,Rang,Tom F.,Rita R.
198177944,Silis Plussunin,Travel and Transportation,Transport Services,Priority Commercial,Sies,Stelios F.,Rita R.
94917695,Plussunin Plexzap,Banking,Banking,Priority Commercial,Plng,Stelios F.,Tina Q.
789178535,Plexzap Finjob,Banking,Capital Markets/Securities,Priority PS,Ples,Andrew I.,Tina Q.
158178904,Finjob Xx-holding,Chemicals,Automotive,Public Sector,Five,John H.,Melina K.
909172655,Xx-holding Scottech,Chemicals,Chemicals,SMB,Xxls,Tom F.,Melina K.
3371783,Scottech Funholding,Consumer Goods,Consumer Goods,SMC Comm,Scds,Matthew L.,Maria J.
420177166,Funholding Sonron,Consumer Goods,Food and Beverage,SMC Education,Fuge,Ben Mk.,Maria J.
384173130,Sonron Singletechno,Consumer Goods,Wholesale Distribution,Strategic,Soon,Bilal G.,Maria J.
66177812,Singletechno Rangreen,Defenses,National Security,SMC Comm,Sity,Matthew L.,Melpo Y.
165171911,Rangreen J-Texon,Energy,Electricity and Gas Services,SMC Education,Raes,Ben Mk.,Peter J.
170172916,J-Texon Rundofase,Energy,Mining,Strategic,J-ng,Bilal G.,Peter J.
340172086,Rundofase Doncon,Energy,Oil and Gas,Priority PS,Ruas,Andrew I.,Peter J.
